chr	insertion_site	norm_reads_5'	norm_reads_3'	QIseq_Run	Sample_pool_ID
chr11	630524	11.54	4.23	Run_1	P110-10
chr5	286151	1.15	0.42	Run_1	P110-10
chr2	456922	1.54	0.42	Run_1	P110-10
chr6	1352386	1.92	5.5	Run_1	P110-10
chr10	452085	1.15	2.54	Run_1	P110-10
chr12	356310	121.16	120.23	Run_1	P110-10
chr7	92729	51.15	0	Run_1	P110-10
chr13	1079805	0.77	0.42	Run_1	P110-10
chr5	1225621	3.08	0	Run_1	P110-10
chr13	2842679	2.31	0.85	Run_1	P110-10
chr9	943513	36.54	19.47	Run_1	P110-10
chr13	2842234	0.77	0.42	Run_1	P110-10
chr13	134086	109.23	112.18	Run_1	P110-10
chr13	1158450	26.92	100.75	Run_1	P110-10
chr6	1103201	0.77	0.42	Run_1	P110-10
chr12	853495	2.69	2.54	Run_1	P110-10
chr11	1469393	2.31	1.69	Run_1	P110-10
chr10	228485	2.31	4.23	Run_1	P110-10
chr7	96521	4.23	0	Run_1	P110-10
chr9	1247945	0.77	1.27	Run_1	P110-10
chr11	828066	1.15	1.69	Run_1	P110-10
chr4	34709	41.92	48.26	Run_1	P110-10
chr12	2239749	0.77	0.42	Run_1	P110-10
chr11	316150	0.77	0.42	Run_1	P110-10
chr7	1090517	47.69	78.32	Run_1	P110-10
chr13	565800	0.38	0.42	Run_1	P110-10
chr3	947398	52.69	5.08	Run_1	P110-10
chr9	132283	3.85	1.69	Run_1	P110-10
chr7	251079	0.38	0.42	Run_1	P110-10
chr8	1373949	0.77	1.27	Run_1	P110-10
chr13	271629	182.69	118.96	Run_1	P110-10
chr7	1367266	2.31	0	Run_1	P110-10
chr13	2843094	0.38	0.85	Run_1	P110-10
chr13	97696	0.77	0.42	Run_1	P110-10
chr10	796865	15.77	14.39	Run_1	P110-10
chr10	512529	1.54	1.27	Run_1	P110-10
chr9	99320	12.31	13.55	Run_1	P110-10
chr10	1165146	2.31	0.42	Run_1	P110-10
chr13	1833303	14.62	11.01	Run_1	P110-10
chr2	771971	2.31	3.81	Run_1	P110-10
chr14	1281184	3.08	5.5	Run_1	P110-10
chr11	1137532	15.77	6.77	Run_1	P110-10
chr5	516248	5	2.96	Run_1	P110-10
chr6	420188	9.23	4.23	Run_1	P110-10
chr5	965601	5.38	9.74	Run_1	P110-10
chr14	807069	0.77	1.27	Run_1	P110-10
chr5	94719	5	0	Run_1	P110-10
chr3	425640	0.38	0.42	Run_1	P110-10
chr12	1137689	50.77	0	Run_1	P110-10
chr13	2531259	4.62	12.7	Run_1	P110-10
chr13	2836707	0.38	0.42	Run_1	P110-10
chr7	1357176	1.92	0.42	Run_1	P110-10
chr11	1217019	8.85	13.12	Run_1	P110-10
chr12	573789	3.46	0	Run_1	P110-10
chr2	470362	4.62	7.62	Run_1	P110-10
chr4	724234	2.31	4.23	Run_1	P110-10
chr14	704308	29.62	32.17	Run_1	P110-10
chr9	1074520	0.77	0.42	Run_1	P110-10
chr11	909149	0.38	0.42	Run_1	P110-10
chr8	446344	18.08	52.07	Run_1	P110-10
chr14	1075935	4.62	2.54	Run_1	P110-10
chr5	889784	15	27.09	Run_1	P110-10
chr11	879695	83.46	85.94	Run_1	P110-10
chr8	655103	0.38	4.23	Run_1	P110-10
chr9	365637	3.46	0	Run_1	P110-10
chr8	568855	5.38	2.96	Run_1	P110-10
chr14	263926	4.23	0	Run_1	P110-10
chr14	1476370	2.69	45.3	Run_1	P110-10
chr11	1404540	2.31	2.12	Run_1	P110-10
chr14	1193542	102.69	82.55	Run_1	P110-10
chr8	213415	2.69	1.69	Run_1	P110-10
chr9	116800	2.31	2.12	Run_1	P110-10
chr6	579089	1.54	0.42	Run_1	P110-10
chr8	476631	0.38	0.42	Run_1	P110-10
chr12	1340548	0.77	2.12	Run_1	P110-10
chr4	250802	45.77	46.57	Run_1	P110-10
chr13	1847283	1.92	2.54	Run_1	P110-10
chr14	2167385	1.54	2.54	Run_1	P110-10
chr6	841186	90	142.24	Run_1	P110-10
chr12	2171235	32.31	19.47	Run_1	P110-10
chr12	1319997	69.62	37.25	Run_1	P110-10
chr8	631296	24.62	72.81	Run_1	P110-10
chr13	707729	4.62	98.64	Run_1	P110-10
chr8	714676	22.69	4.23	Run_1	P110-10
chr8	891194	0.38	0.42	Run_1	P110-10
chr13	1845910	47.69	24.55	Run_1	P110-10
chr12	206294	0.77	1.27	Run_1	P110-10
chr6	1119286	2.31	19.9	Run_1	P110-10
chr5	683512	2.69	0	Run_1	P110-10
chr14	2463253	3.08	22.44	Run_1	P110-10
chr11	973512	0	3.81	Run_1	P110-10
chr13	1239238	0	3.81	Run_1	P110-10
chr11	614259	0	2.96	Run_1	P110-10
chr7	821789	0	7.2	Run_1	P110-10
chr7	1337321	0	5.08	Run_1	P110-10
chr14	1092384	11.54	2.54	Run_1	P110-4
chr5	710324	0.77	1.27	Run_1	P110-4
chr13	338199	1.54	0.42	Run_1	P110-4
chr10	553810	16.92	13.97	Run_1	P110-4
chr9	1250793	0.38	0.42	Run_1	P110-4
chr7	1366170	19.62	6.35	Run_1	P110-4
chr11	892973	1.54	0.85	Run_1	P110-4
chr12	1876574	41.54	12.7	Run_1	P110-4
chr10	355592	1.15	0.42	Run_1	P110-4
chr12	1192517	13.46	8.04	Run_1	P110-4
chr12	756941	1.92	1.27	Run_1	P110-4
chr9	1113228	1.54	0.85	Run_1	P110-4
chr4	693087	72.31	1.69	Run_1	P110-4
chr11	1125145	10.77	4.66	Run_1	P110-4
chr8	269386	2.69	2.96	Run_1	P110-4
chr13	813683	5	1.69	Run_1	P110-4
chr13	2842850	0.38	0.42	Run_1	P110-4
chr13	2842199	0.77	0.85	Run_1	P110-4
chr13	2842404	0.77	0.85	Run_1	P110-4
chr13	2842679	1.54	0.85	Run_1	P110-4
chr12	1284807	3.46	0.85	Run_1	P110-4
chr3	679262	3.08	0	Run_1	P110-4
chr10	228485	39.62	35.14	Run_1	P110-4
chr4	414624	1.15	0.42	Run_1	P110-4
chr6	441289	0.38	1.69	Run_1	P110-4
chr11	614259	20	23.71	Run_1	P110-4
chr14	1900218	2.31	0	Run_1	P110-4
chr9	101992	0.38	0.85	Run_1	P110-4
chr7	1091488	0.38	0.85	Run_1	P110-4
chr12	329037	0.38	0.42	Run_1	P110-4
chr11	1025739	0.38	0.42	Run_1	P110-4
chr13	1695128	0.77	0.85	Run_1	P110-4
chr8	423279	3.08	0	Run_1	P110-4
chr7	1272464	0.38	0.42	Run_1	P110-4
chr13	1133598	18.08	4.23	Run_1	P110-4
chr11	85915	1.15	0.85	Run_1	P110-4
chr8	213415	61.15	54.19	Run_1	P110-4
chr13	1847283	27.69	31.75	Run_1	P110-4
chr6	461408	1.15	1.69	Run_1	P110-4
chr12	1280768	1.54	1.69	Run_1	P110-4
chr4	1116608	1.92	0.42	Run_1	P110-4
chr12	206294	31.92	11.43	Run_1	P110-4
chr13	520503	6.15	2.96	Run_1	P110-4
chr14	520331	0.77	2.96	Run_1	P110-4
chr10	925620	4.62	2.96	Run_1	P110-4
chr12	1313768	43.08	2.54	Run_1	P110-4
chr13	2842487	0.77	2.12	Run_1	P110-4
chr4	217514	0.77	2.12	Run_1	P110-4
chr11	779061	94.23	66.89	Run_1	P110-4
chr8	1352968	2.69	0	Run_1	P110-4
chr13	2842234	0.38	0.85	Run_1	P110-4
chr9	1247945	23.85	9.74	Run_1	P110-4
chr13	2842785	0.38	0.42	Run_1	P110-4
chr13	97696	11.15	2.54	Run_1	P110-4
chr13	1454270	1.15	0.42	Run_1	P110-4
chr2	771971	46.92	34.29	Run_1	P110-4
chr9	1147461	6.54	0	Run_1	P110-4
chr14	416105	1.15	0.42	Run_1	P110-4
chr2	601879	0.38	0.42	Run_1	P110-4
chr14	2811998	8.46	1.69	Run_1	P110-4
chr4	644416	1.54	0.42	Run_1	P110-4
chr11	1217019	126.54	133.35	Run_1	P110-4
chr12	1384781	14.23	0.42	Run_1	P110-4
chr13	2392482	2.69	2.54	Run_1	P110-4
chr14	649275	28.85	14.39	Run_1	P110-4
chr13	837859	1.54	1.69	Run_1	P110-4
chr7	687733	1.92	1.69	Run_1	P110-4
chr2	658502	1.15	0.85	Run_1	P110-4
chr13	1692675	3.08	1.69	Run_1	P110-4
chr6	841186	3.46	2.12	Run_1	P110-4
chr2	285915	3.85	1.69	Run_1	P110-4
chr2	247678	3.46	1.27	Run_1	P110-4
chr14	2651289	0.38	0.42	Run_1	P110-4
chr14	1107083	5	7.2	Run_1	P110-4
chr3	84708	14.23	4.66	Run_1	P110-4
chr9	854970	0.38	0.42	Run_1	P110-4
chr14	506000	8.46	0.42	Run_1	P110-4
chr8	1352967	0	4.66	Run_1	P110-4
chr5	1297079	70.77	71.54	Run_1	P110-7
chr5	255776	19.23	47.84	Run_1	P110-7
chr6	1248634	7.31	1.69	Run_1	P110-7
chr12	375979	10	1.69	Run_1	P110-7
chr13	2902771	1.15	1.69	Run_1	P110-7
chr5	1296386	0.38	0.42	Run_1	P110-7
chr6	447104	28.08	4.23	Run_1	P110-7
chr11	629319	4.62	0.42	Run_1	P110-7
chr14	2121960	0.38	0.42	Run_1	P110-7
chr11	384697	3.46	1.27	Run_1	P110-7
chr10	245585	0.38	0.42	Run_1	P110-7
chr3	765853	2.31	0.42	Run_1	P110-7
chr13	2842346	0.38	0.42	Run_1	P110-7
chr7	816817	0.38	0.42	Run_1	P110-7
chr6	1068612	6.15	8.04	Run_1	P110-7
chr13	2842487	0.77	0.85	Run_1	P110-7
chr8	126988	3.46	3.81	Run_1	P110-7
chr10	128239	0.38	0.85	Run_1	P110-7
chr4	706098	1.15	2.12	Run_1	P110-7
chr7	824132	3.08	0	Run_1	P110-7
chr14	572628	5.38	0.42	Run_1	P110-7
chr1	356697	0.77	0.42	Run_1	P110-7
chr7	94831	3.08	1.27	Run_1	P110-7
chr9	499231	10	13.97	Run_1	P110-7
chr14	2446781	1.92	1.27	Run_1	P110-7
chr13	2842850	0.38	0.42	Run_1	P110-7
chr12	1080558	27.31	11.85	Run_1	P110-7
chr13	1301729	2.31	3.39	Run_1	P110-7
chr5	1026175	1.15	6.35	Run_1	P110-7
chr13	2842199	1.92	1.27	Run_1	P110-7
chr9	714894	1.54	1.27	Run_1	P110-7
chr8	989255	10	0	Run_1	P110-7
chr13	2842404	1.92	2.54	Run_1	P110-7
chr14	3074664	63.46	140.55	Run_1	P110-7
chr13	2842679	0.38	0.85	Run_1	P110-7
chr8	1145728	0.38	1.27	Run_1	P110-7
chr12	1619223	0.38	0.42	Run_1	P110-7
chr13	2842234	0.77	0.42	Run_1	P110-7
chr2	737943	2.69	0.42	Run_1	P110-7
chr10	1077356	1.54	0.85	Run_1	P110-7
chr4	1046936	10.38	12.7	Run_1	P110-7
chr12	1710173	0.38	0.42	Run_1	P110-7
chr9	1259520	4.23	0	Run_1	P110-7
chr13	2842528	4.23	0	Run_1	P110-7
chr10	1343974	36.92	0	Run_1	P110-7
chr12	209730	1.92	2.54	Run_1	P110-7
chr14	91279	1.54	2.12	Run_1	P110-7
chr12	85008	2.69	11.85	Run_1	P110-7
chr13	2827642	3.08	4.66	Run_1	P110-7
chr11	844159	4.23	1.27	Run_1	P110-7
chr7	1333214	25.77	16.51	Run_1	P110-7
chr13	2842292	0.77	0.85	Run_1	P110-7
chr13	271629	0.77	0.85	Run_1	P110-7
chr10	328630	0.38	3.81	Run_1	P110-7
chr11	204381	0.38	0.42	Run_1	P110-7
chr14	1206265	1.54	1.69	Run_1	P110-7
chr8	882594	20	11.85	Run_1	P110-7
chr13	2843094	2.31	8.04	Run_1	P110-7
chr11	510350	6.15	9.74	Run_1	P110-7
chr10	1334489	7.31	0	Run_1	P110-7
chr14	1070776	26.15	23.28	Run_1	P110-7
chr12	320180	3.46	4.23	Run_1	P110-7
chr13	1173220	0.38	0.42	Run_1	P110-7
chr11	1859261	0.38	0.42	Run_1	P110-7
chr7	111064	11.15	2.96	Run_1	P110-7
chr13	2842368	0.77	1.69	Run_1	P110-7
chr14	1610507	0.38	0.42	Run_1	P110-7
chr7	926211	3.08	3.39	Run_1	P110-7
chr12	880368	1.54	0.85	Run_1	P110-7
chr9	858820	0.38	0.42	Run_1	P110-7
chr3	402370	36.15	5.08	Run_1	P110-7
chr5	1015853	30.39	27.09	Run_1	P110-7
chr12	1986482	19.23	3.39	Run_1	P110-7
chr1	390832	0.77	0.85	Run_1	P110-7
chr13	2842182	0.38	0.42	Run_1	P110-7
chr13	1284717	20.77	5.08	Run_1	P110-7
chr14	1121665	1.92	1.27	Run_1	P110-7
chr14	1546078	0.38	0.42	Run_1	P110-7
chr8	1062500	15.77	34.29	Run_1	P110-7
chr6	841186	1.15	7.2	Run_1	P110-7
chr13	168679	35.39	0.85	Run_1	P110-7
chr8	575053	247.7	61.81	Run_1	P110-7
chr1	103585	0.38	0.42	Run_1	P110-7
chr14	2502876	39.62	2.12	Run_1	P110-7
chr12	1601834	0.77	0.85	Run_1	P110-7
chr5	340355	14.23	0.85	Run_1	P110-7
chr11	1521863	0	82.13	Run_1	P110-7
chr3	715189	0	5.08	Run_1	P110-7
chr10	1335452	0	13.12	Run_1	P110-7
chr14	3149589	0	2.54	Run_1	P110-7
chr8	162476	0.38	0.85	Run_1	P111-1
chr13	2842773	0.38	0.85	Run_1	P111-1
chr10	296786	0.38	0.42	Run_1	P111-1
chr10	1443589	153.08	100.33	Run_1	P111-1
chr3	250346	0.38	1.27	Run_1	P111-1
chr13	2843078	1.54	0.42	Run_1	P111-1
chr13	2842921	1.92	1.27	Run_1	P111-1
chr14	774769	8.85	4.23	Run_1	P111-1
chr13	2842346	1.54	1.27	Run_1	P111-1
chr2	403605	1.92	0.85	Run_1	P111-1
chr13	2842316	1.54	0.85	Run_1	P111-1
chr5	448916	4.23	7.2	Run_1	P111-1
chr13	2842850	0.38	0.85	Run_1	P111-1
chr5	12146	0.38	0.42	Run_1	P111-1
chr13	2842199	2.31	0.42	Run_1	P111-1
chr14	59595	0.77	0.42	Run_1	P111-1
chr9	894053	6.54	1.27	Run_1	P111-1
chr9	1049673	2.69	0.42	Run_1	P111-1
chr1	312291	44.62	24.13	Run_1	P111-1
chr12	1938093	1.15	0.85	Run_1	P111-1
chr13	2842404	19.23	3.81	Run_1	P111-1
chr13	2842679	4.23	1.69	Run_1	P111-1
chr5	955521	2.69	0.42	Run_1	P111-1
chr5	810362	6.15	5.08	Run_1	P111-1
chr4	674614	1.54	0.85	Run_1	P111-1
chr9	1208949	3.85	0.42	Run_1	P111-1
chr14	2066597	0.38	1.69	Run_1	P111-1
chr13	2842292	0.38	2.12	Run_1	P111-1
chr9	901002	8.85	1.27	Run_1	P111-1
chr1	470004	22.69	10.58	Run_1	P111-1
chr4	338183	3.46	1.69	Run_1	P111-1
chr13	2843147	1.15	0.42	Run_1	P111-1
chr8	1373735	0.38	0.42	Run_1	P111-1
chr14	1606887	2.69	0	Run_1	P111-1
chr13	2807713	2.69	0.85	Run_1	P111-1
chr11	1421425	0.38	0.42	Run_1	P111-1
chr9	1356767	0.77	0.42	Run_1	P111-1
chr6	464835	0.38	41.91	Run_1	P111-1
chr11	2001159	6.15	3.39	Run_1	P111-1
chr14	180155	5.38	0	Run_1	P111-1
chr4	639006	3.46	0.42	Run_1	P111-1
chr6	65525	0.38	0.42	Run_1	P111-1
chr8	1352708	28.46	11.01	Run_1	P111-1
chr13	2842182	1.92	0.42	Run_1	P111-1
chr11	1804547	3.08	0	Run_1	P111-1
chr7	1323931	2.31	2.96	Run_1	P111-1
chr9	1410832	7.69	1.69	Run_1	P111-1
chr8	1144761	10.77	5.08	Run_1	P111-1
chr14	1847184	1.15	5.93	Run_1	P111-1
chr14	812509	1.15	0.42	Run_1	P111-1
chr7	1327788	0.77	1.27	Run_1	P111-1
chr10	1051598	8.46	0	Run_1	P111-1
chr12	1134406	2.69	1.69	Run_1	P111-1
chr14	2911170	23.08	0	Run_1	P111-1
chr13	2842476	0.38	0.42	Run_1	P111-1
chr8	819285	30.39	12.7	Run_1	P111-1
chr5	464577	2.31	2.54	Run_1	P111-1
chr9	1073935	10	9.31	Run_1	P111-1
chr13	2842441	0.38	0.85	Run_1	P111-1
chr12	315593	1.54	1.27	Run_1	P111-1
chr7	239584	101.92	73.24	Run_1	P111-1
chr12	886827	20	40.64	Run_1	P111-1
chr14	1723907	1.54	2.12	Run_1	P111-1
chr3	527914	10.77	0	Run_1	P111-1
chr13	2842127	0.77	0.85	Run_1	P111-1
chr14	572661	1.92	0.42	Run_1	P111-1
chr7	589358	0.38	0.42	Run_1	P111-1
chr2	715625	13.85	0	Run_1	P111-1
chr11	1155361	3.46	36.41	Run_1	P111-1
chr5	537496	83.46	108.37	Run_1	P111-1
chr3	189784	2.69	0	Run_1	P111-1
chr13	247039	0.77	0.42	Run_1	P111-1
chr10	818427	6.92	5.5	Run_1	P111-1
chr13	2842487	0.77	2.12	Run_1	P111-1
chr3	967929	0.38	0.42	Run_1	P111-1
chr3	798181	110.39	107.53	Run_1	P111-1
chr3	672120	51.54	80.86	Run_1	P111-1
chr14	2568012	1.54	0.42	Run_1	P111-1
chr13	139506	0.38	0.42	Run_1	P111-1
chr13	2842234	0.38	0.85	Run_1	P111-1
chr13	1168093	66.54	8.04	Run_1	P111-1
chr13	1020992	6.92	0	Run_1	P111-1
chr13	2212880	0.77	0.42	Run_1	P111-1
chr14	556017	2.69	0.42	Run_1	P111-1
chr10	123533	3.46	0	Run_1	P111-1
chr5	1250013	78.46	4.66	Run_1	P111-1
chr14	2475122	3.85	0	Run_1	P111-1
chr14	368859	1.15	0.85	Run_1	P111-1
chr12	395541	5.77	9.31	Run_1	P111-1
chr13	2843094	0.38	0.42	Run_1	P111-1
chr11	1366007	0.77	0.42	Run_1	P111-1
chr13	2842785	1.92	1.27	Run_1	P111-1
chr4	1092672	33.85	14.82	Run_1	P111-1
chr7	1159587	1.15	1.69	Run_1	P111-1
chr9	713505	7.69	7.62	Run_1	P111-1
chr5	1150338	2.31	0.85	Run_1	P111-1
chr8	144892	2.31	0	Run_1	P111-1
chr3	1021300	1.54	2.12	Run_1	P111-1
chr7	433974	18.46	0	Run_1	P111-1
chr11	1312413	53.08	97.37	Run_1	P111-1
chr11	631394	26.92	13.55	Run_1	P111-1
chr11	1874322	0.38	0.85	Run_1	P111-1
chr11	991310	3.08	0.42	Run_1	P111-1
chr1	450764	2.31	1.27	Run_1	P111-1
chr14	319615	15.77	0	Run_1	P111-1
chr10	648341	27.69	8.04	Run_1	P111-1
chr6	841186	2.69	3.81	Run_1	P111-1
chr13	2058000	0.38	0.42	Run_1	P111-1
chr11	1597836	111.92	9.74	Run_1	P111-1
chr9	550008	0.38	0.42	Run_1	P111-1
chr12	1258525	25.77	0.85	Run_1	P111-1
chr14	1023587	0.38	0.42	Run_1	P111-1
chr2	108901	11.54	2.54	Run_1	P111-1
chr14	308245	14.23	23.71	Run_1	P111-1
chr13	2716227	4.62	0	Run_1	P111-1
chr12	1321438	1.92	0.85	Run_1	P111-1
chr9	554757	0	3.81	Run_1	P111-1
chr10	611099	0	4.23	Run_1	P111-1
chr5	61080	0	13.97	Run_1	P111-1
chr14	3231142	0	38.1	Run_1	P111-1
chr9	1374006	0	20.32	Run_1	P111-1
chr8	663429	0	13.12	Run_1	P111-1
chr12	1588553	0	2.54	Run_1	P111-1
chr4	687693	0.38	0.85	Run_1	P111-10
chr11	1593351	63.46	34.29	Run_1	P111-10
chr8	528393	0.38	0.85	Run_1	P111-10
chr12	1309544	0.77	2.96	Run_1	P111-10
chr14	693420	4.23	1.27	Run_1	P111-10
chr11	1325061	7.31	7.2	Run_1	P111-10
chr6	425453	18.46	18.2	Run_1	P111-10
chr13	2842921	1.15	0.42	Run_1	P111-10
chr11	1522109	10.77	2.54	Run_1	P111-10
chr8	884948	49.62	10.58	Run_1	P111-10
chr11	1167949	11.92	8.04	Run_1	P111-10
chr5	1138904	0.77	0.42	Run_1	P111-10
chr14	2075377	2.69	0.42	Run_1	P111-10
chr8	1042544	61.92	20.74	Run_1	P111-10
