chr	insertion_site	norm_reads_5'	norm_reads_3'	QIseq_Run	Sample_pool_ID
chr7	655768	22	16	Run_P3	"LMPP_9:SMPP_9"
chr14	2933636	0	129	Run_P3	"LMPP_16:SMPP_2"
chr10	895155	21	5	Run_P3	"LMPP_4:SMPP_33"
chr3	169297	3073	198	Run_P3	"LMPP_12:SMPP_56"
chr13	1483300	25	6	Run_P3	"LMPP_11:SMPP_60"
chr6	799225	6979	15066	Run_P3	"LMPP_16:SMPP_7"
chr1	417602	443	143	Run_P3	"LMPP_3:SMPP_23"
chr10	1287326	6	0	Run_P3	"LMPP_5:SMPP_34"
chr11	1657453	9	0	Run_P3	"LMPP_8:SMPP_49"
chr3	401072	62	0	Run_P3	"LMPP_1:SMPP_21"
chr11	1162851	275	106	Run_P3	"LMPP_11:SMPP_51"
chr4	901198	1762	11	Run_P3	"LMPP_6:SMPP_41"
chr6	905781	2835	1765	Run_P3	"LMPP_3:SMPP_32"
chr13	106273	31	14	Run_P3	"LMPP_4:SMPP_47"
chr4	915313	48	4610	Run_P3	"LMPP_14:SMPP_63"
chr5	1296386	0	18	Run_P3	"LMPP_12:SMPP_55"
chr8	850377	10	0	Run_P3	"LMPP_14:SMPP_62"
chr8	1197128	134	0	Run_P3	"LMPP_11:SMPP_60"
chr1	224564	0	74	Run_P3	"LMPP_16:SMPP_2"
chr3	311870	67	0	Run_P3	"LMPP_15:SMPP_12"
chr4	797867	58734	18439	Run_P3	"LMPP_4:SMPP_36"
chr13	1737232	0	10	Run_P3	"LMPP_13:SMPP_65"
chr9	699461	10921	122	Run_P3	"LMPP_1:SMPP_21"
chr14	556381	452	20484	Run_P3	"LMPP_11:SMPP_60"
chr13	27513	386	211	Run_P3	"LMPP_5:SMPP_30"
chr14	1979153	0	61	Run_P3	"LMPP_1:SMPP_19"
chr8	1036464	0	10	Run_P3	"LMPP_9:SMPP_5"
chr7	986421	20	0	Run_P3	"LMPP_2:SMPP_22"
chr10	452904	299	8	Run_P3	"LMPP_5:SMPP_34"
chr6	854809	116	137	Run_P3	"LMPP_7:SMPP_44"
chr13	1213183	713	0	Run_P3	"LMPP_11:SMPP_59"
chr11	743093	1449	46	Run_P3	"LMPP_11:SMPP_60"
chr12	1700211	77	0	Run_P3	"LMPP_9:SMPP_9"
chr14	1176029	15678	1119	Run_P3	"LMPP_3:SMPP_23"
chr5	1024784	0	8	Run_P3	"LMPP_2:SMPP_22"
chr6	1329704	0	37	Run_P3	"LMPP_6:SMPP_39"
chr5	129299	70	0	Run_P3	"LMPP_2:SMPP_22"
chr7	1440377	32	0	Run_P3	"LMPP_6:SMPP_40"
chr9	1435716	25	66	Run_P3	"LMPP_10:SMPP_54"
chr13	2849045	27	0	Run_P3	"LMPP_9:SMPP_10"
chr13	128545	0	6	Run_P3	"LMPP_5:SMPP_31"
chr14	1785031	31	30	Run_P3	"LMPP_7:SMPP_44"
chr14	1697302	0	9	Run_P3	"LMPP_16:SMPP_6"
chr11	1516815	1576	547	Run_P3	"LMPP_12:SMPP_56"
chr13	990966	78	356	Run_P3	"LMPP_14:SMPP_66"
chr9	1059015	1802	0	Run_P3	"LMPP_8:SMPP_49"
chr9	132629	11	0	Run_P3	"LMPP_14:SMPP_62"
chr13	369102	86	144	Run_P3	"LMPP_7:SMPP_44"
chr11	831004	347	0	Run_P3	"LMPP_6:SMPP_40"
chr13	1891449	164	0	Run_P3	"LMPP_12:SMPP_57"
chr9	250351	2858	2565	Run_P3	"LMPP_3:SMPP_32"
chr11	1980980	0	17	Run_P3	"LMPP_4:SMPP_36"
chr12	793791	0	13	Run_P3	"LMPP_9:SMPP_5"
chr10	1557267	0	50	Run_P3	"LMPP_4:SMPP_36"
chr12	902393	876	975	Run_P3	"LMPP_3:SMPP_32"
chr9	1267231	101	1714	Run_P3	"LMPP_10:SMPP_4"
chr10	1573679	12444	167	Run_P3	"LMPP_13:SMPP_61"
chr10	509112	0	402	Run_P3	"LMPP_1:SMPP_18"
chr12	472665	32	15	Run_P3	"LMPP_7:SMPP_42"
chr3	634398	10	306	Run_P3	"LMPP_3:SMPP_28"
chr3	216976	50	0	Run_P3	"LMPP_5:SMPP_34"
chr2	17984	109	33	Run_P3	"LMPP_4:SMPP_37"
chr5	1292601	10	0	Run_P3	"LMPP_1:SMPP_20"
chr3	532747	0	40	Run_P3	"LMPP_4:SMPP_36"
chr13	1799323	102	14	Run_P3	"LMPP_14:SMPP_63"
chr4	361913	0	11	Run_P3	"LMPP_16:SMPP_7"
chr6	719992	39	5	Run_P3	"LMPP_2:SMPP_25_1"
chr9	1440380	58	75	Run_P3	"LMPP_1:SMPP_20"
chr5	926861	0	10	Run_P3	"LMPP_9:SMPP_5"
chr13	954200	37258	9211	Run_P3	"LMPP_10:SMPP_4"
chr7	84050	0	25	Run_P3	"LMPP_10:SMPP_4"
chr11	594554	0	9	Run_P3	"LMPP_4:SMPP_36"
chr13	2881733	10	0	Run_P3	"LMPP_14:SMPP_68"
chr4	210435	0	17	Run_P3	"LMPP_3:SMPP_27"
chr11	2017279	49	27	Run_P3	"LMPP_1:SMPP_18"
chr6	200993	106	67	Run_P3	"LMPP_6:SMPP_35"
chr12	1783646	0	81	Run_P3	"LMPP_2:SMPP_22"
chr11	1430448	68	89	Run_P3	"LMPP_6:SMPP_35"
chr7	1419337	19	1905	Run_P3	"LMPP_10:SMPP_4"
chr8	299079	0	23	Run_P3	"LMPP_16:SMPP_1"
chr12	135712	324	310	Run_P3	"LMPP_14:SMPP_66"
chr7	683324	6	0	Run_P3	"LMPP_5:SMPP_34"
chr13	1166770	32	373	Run_P3	"LMPP_5:SMPP_25_2"
chr9	1094235	26	10	Run_P3	"LMPP_5:SMPP_34"
chr8	321585	42	182	Run_P3	"LMPP_5:SMPP_29"
chr7	1347572	8850	17746	Run_P3	"LMPP_1:SMPP_19"
chr11	351982	10	0	Run_P3	"LMPP_4:SMPP_36"
chr14	167774	0	16	Run_P3	"LMPP_10:SMPP_8"
chr10	1490710	22	0	Run_P3	"LMPP_3:SMPP_28"
chr9	509211	246	27	Run_P3	"LMPP_12:SMPP_55"
chr8	799043	0	30	Run_P3	"LMPP_15:SMPP_69"
chr14	1212917	20748	10415	Run_P3	"LMPP_1:SMPP_20"
chr13	216548	34	0	Run_P3	"LMPP_5:SMPP_34"
chr1	48695	0	146	Run_P3	"LMPP_8:SMPP_49"
chr9	92390	8	9119	Run_P3	"LMPP_4:SMPP_37"
chr6	719963	197	20	Run_P3	"LMPP_12:SMPP_55"
chr11	94062	6679	437	Run_P3	"LMPP_11:SMPP_51"
chr10	1632450	534	1226	Run_P3	"LMPP_1:SMPP_19"
chr6	447675	711	19	Run_P3	"LMPP_8:SMPP_46"
chr6	583242	15	0	Run_P3	"LMPP_10:SMPP_8"
chr12	1980100	61	0	Run_P3	"LMPP_9:SMPP_9"
chr13	359438	0	5	Run_P3	"LMPP_4:SMPP_36"
chr13	2769124	718	233	Run_P3	"LMPP_5:SMPP_31"
chr13	2841764	54	0	Run_P3	"LMPP_10:SMPP_54"
chr11	820984	613	254	Run_P3	"LMPP_7:SMPP_45"
chr2	127328	0	10	Run_P3	"LMPP_15:SMPP_12"
chr12	2264381	53	27	Run_P3	"LMPP_10:SMPP_11"
chr10	604412	13	12	Run_P3	"LMPP_4:SMPP_36"
chr12	1317643	102	10	Run_P3	"LMPP_16:SMPP_6"
chr5	522803	0	7	Run_P3	"LMPP_11:SMPP_60"
chr8	349925	9	0	Run_P3	"LMPP_4:SMPP_36"
chr2	247495	7	0	Run_P3	"LMPP_5:SMPP_34"
chr6	450339	23492	28504	Run_P3	"LMPP_12:SMPP_57"
chr14	1833378	0	977	Run_P3	"LMPP_1:SMPP_18"
chr11	615198	0	448	Run_P3	"LMPP_10:SMPP_8"
chr1	575770	0	11	Run_P3	"LMPP_7:SMPP_44"
chr6	640561	0	17	Run_P3	"LMPP_4:SMPP_37"
chr13	2021555	453	767	Run_P3	"LMPP_6:SMPP_35"
chr9	1396988	454	8	Run_P3	"LMPP_12:SMPP_52"
chr12	504336	6	825	Run_P3	"LMPP_10:SMPP_8"
chr12	1685590	0	61	Run_P3	"LMPP_16:SMPP_2"
chr12	660647	44	0	Run_P3	"LMPP_3:SMPP_28"
chr9	1173355	16	0	Run_P3	"LMPP_4:SMPP_36"
chr6	465941	239	22608	Run_P3	"LMPP_8:SMPP_48"
chr8	1352365	441	170	Run_P3	"LMPP_10:SMPP_54"
chr8	1354677	63	228	Run_P3	"LMPP_15:SMPP_12"
chr3	902188	1191	672	Run_P3	"LMPP_10:SMPP_11"
chr5	1222035	105	300	Run_P3	"LMPP_2:SMPP_25_1"
chr14	1535583	9	0	Run_P3	"LMPP_1:SMPP_19"
chr11	222678	0	697	Run_P3	"LMPP_9:SMPP_10"
chr4	710264	0	515	Run_P3	"LMPP_1:SMPP_18"
chr8	566015	0	365	Run_P3	"LMPP_16:SMPP_1"
chr11	518259	78	13	Run_P3	"LMPP_4:SMPP_36"
chr14	3132206	16	0	Run_P3	"LMPP_11:SMPP_59"
chr13	901921	0	119	Run_P3	"LMPP_16:SMPP_6"
chr10	1670238	117	0	Run_P3	"LMPP_7:SMPP_42"
chr13	1340119	11	0	Run_P3	"LMPP_1:SMPP_21"
chr8	917534	0	23	Run_P3	"LMPP_4:SMPP_37"
chr14	1869735	23	99	Run_P3	"LMPP_7:SMPP_44"
chr11	1967279	14	0	Run_P3	"LMPP_4:SMPP_36"
chr10	609225	17	10	Run_P3	"LMPP_13:SMPP_67"
chr6	214644	0	26	Run_P3	"LMPP_3:SMPP_23"
chr14	2889013	0	6934	Run_P3	"LMPP_1:SMPP_20"
chr13	276791	127	378	Run_P3	"LMPP_13:SMPP_67"
chr5	113980	8	0	Run_P3	"LMPP_4:SMPP_36"
chr7	167394	30	0	Run_P3	"LMPP_3:SMPP_32"
chr13	2842773	0	17	Run_P3	"LMPP_5:SMPP_29"
chr14	687009	0	43	Run_P3	"LMPP_4:SMPP_37"
chr1	557485	46	0	Run_P3	"LMPP_1:SMPP_21"
chr14	1298162	0	278	Run_P3	"LMPP_9:SMPP_5"
chr5	1257817	303	0	Run_P3	"LMPP_5:SMPP_25_2"
chr8	539077	71	7	Run_P3	"LMPP_6:SMPP_40"
chr13	2472453	6	880	Run_P3	"LMPP_15:SMPP_70"
chr9	201980	33	20	Run_P3	"LMPP_14:SMPP_66"
chr12	275702	17	0	Run_P3	"LMPP_5:SMPP_34"
chr3	571085	29	8	Run_P3	"LMPP_6:SMPP_38"
chr8	912059	87389	39765	Run_P3	"LMPP_10:SMPP_11"
chr9	112932	21557	626	Run_P3	"LMPP_7:SMPP_42"
chr12	1208586	50	0	Run_P3	"LMPP_13:SMPP_65"
chr7	1230326	47197	108394	Run_P3	"LMPP_11:SMPP_60"
chr6	667392	25	0	Run_P3	"LMPP_7:SMPP_42"
chr6	1220144	8095	6451	Run_P3	"LMPP_11:SMPP_51"
chr11	719777	16	0	Run_P3	"LMPP_6:SMPP_40"
chr5	637653	22	7	Run_P3	"LMPP_15:SMPP_3"
chr7	87963	0	55	Run_P3	"LMPP_3:SMPP_32"
chr9	1426284	41	0	Run_P3	"LMPP_6:SMPP_38"
chr7	38354	0	16	Run_P3	"LMPP_12:SMPP_56"
chr11	394220	18	5	Run_P3	"LMPP_14:SMPP_62"
chr12	64862	5897	4243	Run_P3	"LMPP_3:SMPP_32"
chr2	30328	0	47	Run_P3	"LMPP_15:SMPP_12"
chr11	394510	153	0	Run_P3	"LMPP_8:SMPP_46"
chr10	130746	52	0	Run_P3	"LMPP_5:SMPP_31"
chr4	509941	1470	128	Run_P3	"LMPP_13:SMPP_65"
chr9	83706	30	10	Run_P3	"LMPP_5:SMPP_34"
chr13	1577512	0	5	Run_P3	"LMPP_12:SMPP_55"
chr14	1299303	27	8	Run_P3	"LMPP_6:SMPP_41"
chr14	1061329	0	1151	Run_P3	"LMPP_16:SMPP_1"
chr13	1575487	0	16414	Run_P3	"LMPP_2:SMPP_22"
chr12	351358	2612	736	Run_P3	"LMPP_1:SMPP_18"
chr2	208889	0	93	Run_P3	"LMPP_10:SMPP_4"
chr12	1462889	0	40	Run_P3	"LMPP_2:SMPP_22"
chr5	578935	121	137	Run_P3	"LMPP_8:SMPP_50"
chr8	858580	0	405	Run_P3	"LMPP_2:SMPP_26"
chr8	590027	7	0	Run_P3	"LMPP_6:SMPP_39"
chr9	1117594	31	57	Run_P3	"LMPP_1:SMPP_21"
chr2	754698	671	0	Run_P3	"LMPP_4:SMPP_37"
chr8	710979	10	371	Run_P3	"LMPP_3:SMPP_27"
chr11	1227283	18	0	Run_P3	"LMPP_7:SMPP_43"
chr8	1004833	211	0	Run_P3	"LMPP_4:SMPP_33"
chr8	144414	1078	401	Run_P3	"LMPP_5:SMPP_30"
chr12	1338642	74	20	Run_P3	"LMPP_4:SMPP_36"
chr7	1290220	48	72	Run_P3	"LMPP_4:SMPP_36"
chr5	693884	44	197	Run_P3	"LMPP_1:SMPP_19"
chr3	929349	0	21	Run_P3	"LMPP_11:SMPP_59"
chr4	434226	22463	33332	Run_P3	"LMPP_14:SMPP_66"
chr13	1809293	5781	83	Run_P3	"LMPP_9:SMPP_9"
chr11	316543	161	1054	Run_P3	"LMPP_1:SMPP_19"
chr10	1122469	13	10	Run_P3	"LMPP_13:SMPP_65"
chr4	142672	36	22	Run_P3	"LMPP_4:SMPP_37"
chr12	381930	34	9	Run_P3	"LMPP_4:SMPP_36"
chr13	1434527	71	6	Run_P3	"LMPP_7:SMPP_42"
chr5	1305093	0	53	Run_P3	"LMPP_16:SMPP_7"
chr12	1284976	16	23	Run_P3	"LMPP_10:SMPP_54"
chr6	1087017	1517	1950	Run_P3	"LMPP_10:SMPP_54"
chr14	2121960	50	87	Run_P3	"LMPP_8:SMPP_50"
chr8	87839	26791	9767	Run_P3	"LMPP_15:SMPP_3"
chr13	2054699	0	7	Run_P3	"LMPP_4:SMPP_47"
chr1	354296	129	60	Run_P3	"LMPP_8:SMPP_49"
chr12	1011844	104	38	Run_P3	"LMPP_1:SMPP_20"
chr13	749320	147	0	Run_P3	"LMPP_6:SMPP_40"
chr4	1072038	4200	0	Run_P3	"LMPP_16:SMPP_6"
chr14	399833	10	0	Run_P3	"LMPP_13:SMPP_61"
chr14	773394	91	211	Run_P3	"LMPP_13:SMPP_65"
chr11	1967370	0	10	Run_P3	"LMPP_4:SMPP_36"
chr14	1959257	318	0	Run_P3	"LMPP_2:SMPP_24"
chr2	632125	104	264	Run_P3	"LMPP_16:SMPP_7"
chr3	584282	11	0	Run_P3	"LMPP_5:SMPP_31"
chr13	2842312	374	0	Run_P3	"LMPP_5:SMPP_29"
chr11	1275323	8	0	Run_P3	"LMPP_5:SMPP_34"
chr9	211799	0	79	Run_P3	"LMPP_10:SMPP_8"
chr1	536244	254	320	Run_P3	"LMPP_8:SMPP_46"
chr10	808168	86	25227	Run_P3	"LMPP_11:SMPP_53"
chr11	1992306	6	0	Run_P3	"LMPP_4:SMPP_36"
chr11	1198841	23	0	Run_P3	"LMPP_8:SMPP_49"
chr10	847684	0	645	Run_P3	"LMPP_9:SMPP_9"
chr11	801914	0	22023	Run_P3	"LMPP_16:SMPP_2"
chr13	1005391	178	173	Run_P3	"LMPP_4:SMPP_37"
chr3	1012108	0	142	Run_P3	"LMPP_13:SMPP_65"
chr8	124534	0	128	Run_P3	"LMPP_4:SMPP_37"
chr12	306066	7	0	Run_P3	"LMPP_4:SMPP_36"
chr13	2883932	282	0	Run_P3	"LMPP_6:SMPP_40"
chr8	1372669	8	158	Run_P3	"LMPP_4:SMPP_36"
chr14	1866392	0	8	Run_P3	"LMPP_6:SMPP_39"
chr10	1175908	10	15	Run_P3	"LMPP_12:SMPP_56"
chr6	1402301	27	8	Run_P3	"LMPP_6:SMPP_40"
chr11	348664	28	10	Run_P3	"LMPP_16:SMPP_7"
chr12	1619519	375	415	Run_P3	"LMPP_6:SMPP_35"
chr5	61154	66	7	Run_P3	"LMPP_8:SMPP_49"
chr5	739278	38	18	Run_P3	"LMPP_4:SMPP_36"
chr14	2108435	14494	8210	Run_P3	"LMPP_11:SMPP_53"
chr8	287434	80	94	Run_P3	"LMPP_1:SMPP_20"
chr9	1434192	52	0	Run_P3	"LMPP_6:SMPP_40"
chr9	1261259	228	61	Run_P3	"LMPP_5:SMPP_34"
chr11	228140	6	0	Run_P3	"LMPP_4:SMPP_36"
chr12	756560	26	0	Run_P3	"LMPP_15:SMPP_70"
chr12	699692	6	37	Run_P3	"LMPP_13:SMPP_65"
chr9	112102	0	12	Run_P3	"LMPP_16:SMPP_2"
chr14	100121	15	0	Run_P3	"LMPP_4:SMPP_36"
chr13	2177862	0	75	Run_P3	"LMPP_9:SMPP_5"
chr7	172891	3425	2589	Run_P3	"LMPP_11:SMPP_60"
chr5	1101003	1683	339	Run_P3	"LMPP_9:SMPP_5"
chr14	1105632	17	0	Run_P3	"LMPP_11:SMPP_51"
chr7	1147625	180	0	Run_P3	"LMPP_1:SMPP_21"
chr7	326664	695	3122	Run_P3	"LMPP_4:SMPP_33"
chr4	263983	27	0	Run_P3	"LMPP_9:SMPP_5"
chr3	281036	18	0	Run_P3	"LMPP_10:SMPP_54"
chr6	1309812	9041	18683	Run_P3	"LMPP_11:SMPP_51"
chr14	1896224	79	99	Run_P3	"LMPP_11:SMPP_51"
chr5	1151211	94	259	Run_P3	"LMPP_7:SMPP_44"
chr14	2708300	0	14	Run_P3	"LMPP_12:SMPP_56"
chr8	224977	0	22	Run_P3	"LMPP_13:SMPP_61"
chr8	540167	0	6	Run_P3	"LMPP_16:SMPP_1"
chr11	127961	0	34	Run_P3	"LMPP_16:SMPP_2"
chr11	1922436	61	0	Run_P3	"LMPP_9:SMPP_9"
chr14	719043	4298	3802	Run_P3	"LMPP_12:SMPP_56"
chr8	1064910	0	5	Run_P3	"LMPP_4:SMPP_36"
chr10	80461	0	15	Run_P3	"LMPP_16:SMPP_2"
chr12	1414257	308	0	Run_P3	"LMPP_1:SMPP_21"
chr2	307896	710	522	Run_P3	"LMPP_7:SMPP_44"
chr13	2390880	258	179	Run_P3	"LMPP_4:SMPP_36"
chr13	1199469	15	105	Run_P3	"LMPP_11:SMPP_60"
chr6	1271677	66	67	Run_P3	"LMPP_3:SMPP_23"
chr8	515030	40	166	Run_P3	"LMPP_6:SMPP_35"
chr3	431430	11	0	Run_P3	"LMPP_14:SMPP_68"
chr9	1172609	14	30	Run_P3	"LMPP_7:SMPP_43"
chr2	60664	0	10	Run_P3	"LMPP_10:SMPP_8"
chr3	790838	0	30	Run_P3	"LMPP_1:SMPP_21"
chr14	2843756	6	339	Run_P3	"LMPP_9:SMPP_9"
chr13	1402119	19	0	Run_P3	"LMPP_6:SMPP_39"
chr12	576682	26	0	Run_P3	"LMPP_3:SMPP_28"
chr12	549372	61	0	Run_P3	"LMPP_6:SMPP_40"
chr12	1762692	8	0	Run_P3	"LMPP_3:SMPP_23"
chr9	1150599	0	11	Run_P3	"LMPP_16:SMPP_7"
chr2	152623	1194	1615	Run_P3	"LMPP_10:SMPP_54"
chr8	1396760	38	0	Run_P3	"LMPP_8:SMPP_49"
chr11	1882776	75	0	Run_P3	"LMPP_6:SMPP_38"
chr4	524652	67	73	Run_P3	"LMPP_5:SMPP_31"
chr14	425065	813	0	Run_P3	"LMPP_8:SMPP_49"
chr13	2842127	540	0	Run_P3	"LMPP_2:SMPP_26"
chr3	402300	279	1328	Run_P3	"LMPP_13:SMPP_67"
chr7	1077692	19	204	Run_P3	"LMPP_14:SMPP_62"
chr5	1131669	7	0	Run_P3	"LMPP_12:SMPP_56"
chr3	81083	139	985	Run_P3	"LMPP_6:SMPP_39"
chr5	799937	0	56	Run_P3	"LMPP_3:SMPP_27"
chr13	1695435	0	84	Run_P3	"LMPP_15:SMPP_69"
chr13	1952129	0	57	Run_P3	"LMPP_13:SMPP_64"
chr6	14132	0	18	Run_P3	"LMPP_6:SMPP_40"
chr2	127752	0	11	Run_P3	"LMPP_9:SMPP_5"
chr10	19348	30635	5276	Run_P3	"LMPP_7:SMPP_42"
chr7	92279	5777	4832	Run_P3	"LMPP_15:SMPP_70"
chr12	1192747	21	0	Run_P3	"LMPP_10:SMPP_11"
